Year,EU Human Capital,NL Human Capital,PL Human Capital,RO Human Capital,EU Connectivity,NL Connectivity,PL Connectivity,RO Connectivity,EU Technology,NL Technology,PL Technology,RO Technology,EU Public Service,NL Public Service,PL Public Service,RO Public Service,EU Digi Index,NL Digi Index,PL Digi Index,RO Digi Index
2010 ,,,,,61.0,80.0,57.0,23.0,18,16,13,14,40.0,64.0,28.0,8.0,,,,
2011 ,,,,,65.0,83.0,61.0,31.0,19,18,13,13,41.0,62.0,28.0,7.0,,,,
2012 ,,,,,71.0,84.0,67.0,50.0,19,20,13,13,44.0,67.0,32.0,31.0,,,,
2013 ,,,,,74.0,87.0,69.0,56.0,20,22,16,11,42.0,79.0,23.0,5.0,,,,
2014 ,,,,,77.0,94.0,71.0,58.0,20,27,16,14,46.0,75.0,27.0,10.0,,,,
2015 ,55.0,72.0,40.0,26.0,78.0,94.0,71.0,65.0,21,30,18,15,46.0,75.0,27.0,11.0,67.75,67.75,39.0,29.25
2016 ,56.0,77.0,44.0,28.0,82.0,95.0,76.0,70.0,21,29,17,14,48.0,76.0,30.0,9.0,69.25,69.25,41.75,30.25
2017 ,57.0,79.0,46.0,29.0,83.0,98.0,78.0,74.0,21,28,16,13,49.0,79.0,31.0,9.0,71.0,71.0,42.75,31.25
2018 ,57.0,79.0,45.0,30.0,85.0,97.0,79.0,79.0,20,27,19,14,51.0,82.0,35.0,9.0,71.25,71.25,44.5,33.0
2019 ,58.0,79.0,44.0,31.0,88.0,98.0,83.0,82.0,19,26,21,14,53.0,81.0,40.0,12.0,71.0,71.0,47.0,34.75
2020 ,57.0,79.0,44.0,30.0,89.0,97.0,90.0,84.0,19,26,21,13,57.0,86.0,42.0,13.0,72.0,72.0,49.25,35.0
2021 ,54.0,79.0,43.0,28.0,90.0,99.0,92.0,88.0,19,27,21,11,58.0,87.0,47.0,15.0,73.0,73.0,50.75,35.5
